3.23755,113.297,23.1593,113.328,23.1644
2.29829,113.328,23.1644,113.343,23.1801
2.73326,113.343,23.1801,113.363,23.1638
3.77331,113.363,23.1638,113.333,23.1441
2.30289,113.333,23.1441,113.328,23.1644
2.10459,113.297,23.1593,113.297,23.1404
3.66513,113.297,23.1404,113.333,23.1441
2.94603,113.328,23.1196,113.299,23.1156
1.78867,113.328,23.1196,113.326,23.1035
1.85409,113.328,23.1196,113.341,23.1079
0.786285,113.341,23.1079,113.348,23.1073
1.55906,113.348,23.1073,113.362,23.1127
1.21865,113.362,23.1127,113.359,23.1233
3.10979,113.359,23.1233,113.33,23.1317
1.4037,113.33,23.1317,113.333,23.1441
1.37836,113.33,23.1317,113.328,23.1196
5.63348,113.241,23.0891,113.296,23.0896
3.6105,113.297,23.1404,113.27,23.1192
4.2348,113.27,23.1192,113.296,23.0896
2.72887,113.268,23.0541,113.294,23.0489
2.34616,113.268,23.0541,113.27,23.0752
2.92269,113.27,23.0752,113.298,23.076
1.51762,113.298,23.076,113.296,23.0896
3.06562,113.296,23.0896,113.326,23.0912
1.36514,113.326,23.0912,113.326,23.1035
2.66799,113.326,23.1035,113.3,23.1021
1.51215,113.3,23.1021,113.299,23.1156
1.44032,113.326,23.1035,113.34,23.1031
0.535793,113.34,23.1031,113.341,23.1079
2.90395,113.298,23.076,113.327,23.0777
1.50709,113.327,23.0777,113.326,23.0912
3.04126,113.298,23.076,113.294,23.0489
3.13179,113.378,23.0702,113.349,23.0771
2.24996,113.349,23.0771,113.327,23.0777
2.63215,113.327,23.0777,113.335,23.0554
4.25788,113.294,23.0489,113.335,23.0554
5.00313,113.378,23.0702,113.335,23.0554
1.23056,113.349,23.0771,113.349,23.066
0.859081,113.349,23.066,113.358,23.0664
1.5086,113.27,23.0752,113.255,23.0746
1.20404,113.299,23.1156,113.29,23.1221
4.51,113.363,23.1638,113.359,23.1233
2.08626,113.362,23.1127,113.368,23.0946
1.1752,113.357,23.0907,113.368,23.0946
1.75042,113.357,23.0907,113.349,23.0771
3.13552,113.357,23.0907,113.378,23.0702
2.2036,113.326,23.0912,113.348,23.0919
1.70898,113.348,23.0919,113.348,23.1073
1.65315,113.348,23.0919,113.349,23.0771
7.15139,113.375,23.1345,113.378,23.0702
2.02882,113.267,23.1372,113.27,23.1192
3.30912,113.303,23.1885,113.297,23.1593
1.62487,113.267,23.1372,113.251,23.1364
1.92209,113.251,23.1364,113.233,23.136
2.5634,113.251,23.1364,113.251,23.1595
